spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,2,FC Bayern München,a,6:0,10,0.67
2,0,2,1. FC Heidenheim,h,2:0,84,5.60
3,0,6,1. FSV Mainz 05,a,0:1,72,5.14
4,0,4,1. FC Köln,h,3:1,70,5.00
5,0,5,VfL Wolfsburg,a,0:1,60,3.75
6,0,5,Borussia Dortmund,a,1:1,64,4.92
7,0,5,Hamburger SV,h,2:1,65,4.06
8,0,4,FC Augsburg,a,0:6,109,6.81
9,0,4,VfB Stuttgart,h,3:1,66,4.40
10,0,4,TSG Hoffenheim,a,3:1,54,3.60
11,0,6,SV Werder Bremen,h,2:0,83,6.38
12,0,6,Borussia M'gladbach,a,0:0,60,4.29
13,0,6,Eintracht Frankfurt,h,6:0,102,6.80
14,0,3,1. FC Union Berlin,a,3:1,27,2.08
15,0,3,Bayer 04 Leverkusen,h,1:3,53,3.79
16,0,2,FC St. Pauli,a,1:1,47,3.36
17,0,4,Sport-Club Freiburg,h,2:0,80,5.00
18,0,4,FC Bayern München,h,1:5,31,2.07
19,0,6,1. FC Heidenheim,a,0:3,86,5.73
20,0,5,1. FSV Mainz 05,h,1:2,51,3.64
21,0,5,1. FC Köln,a,1:2,74,4.93
22,0,3,VfL Wolfsburg,h,2:2,74,4.62
23,0,5,Borussia Dortmund,h,2:2,69,4.60
24,0,2,Hamburger SV,a,1:2,57,4.38
25,0,5,FC Augsburg,h,2:1,68,4.53
26,0,5,VfB Stuttgart,a,1:0,35,2.33
27,0,5,TSG Hoffenheim,h,5:0,102,6.38
28,0,4,SV Werder Bremen,a,1:2,57,3.80
29,0,4,Borussia M'gladbach,h,1:0,72,4.80
30,0,5,Eintracht Frankfurt,a,1:3,75,5.36
32,0,5,Bayer 04 Leverkusen,a,4:1,40,2.50
33,0,1,FC St. Pauli,h,2:1,64,4.57
34,0,4,Sport-Club Freiburg,a,4:1,37,2.31
