spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,15,RB Leipzig,h,6:0,108,7.20
2,1,10,FC Augsburg,a,2:3,58,4.14
3,1,10,Hamburger SV,h,5:0,106,6.62
4,0,5,TSG Hoffenheim,a,1:4,76,4.75
5,0,8,SV Werder Bremen,h,4:0,105,6.56
6,2,17,Eintracht Frankfurt,a,0:3,71,5.07
7,0,0,Borussia Dortmund,h,2:1,52,4.00
8,0,4,Borussia M'gladbach,a,0:3,97,6.06
9,0,5,Bayer 04 Leverkusen,h,3:0,80,5.00
10,1,8,1. FC Union Berlin,a,2:2,58,4.14
11,0,3,Sport-Club Freiburg,h,6:2,98,6.12
12,1,13,FC St. Pauli,h,3:1,91,5.69
13,0,6,VfB Stuttgart,a,0:5,96,6.00
15,1,11,1. FC Heidenheim,a,0:4,104,7.43
16,1,13,VfL Wolfsburg,h,8:1,107,6.69
17,0,4,1. FC Köln,a,1:3,75,5.00
18,0,5,RB Leipzig,a,1:5,92,6.13
19,0,2,FC Augsburg,h,1:2,59,3.69
20,1,7,Hamburger SV,a,2:2,59,4.21
21,3,21,TSG Hoffenheim,h,5:1,104,6.50
22,0,7,SV Werder Bremen,a,0:3,82,5.47
23,0,7,Eintracht Frankfurt,h,3:2,74,5.29
24,0,3,Borussia Dortmund,a,2:3,67,5.58
25,1,12,Borussia M'gladbach,h,4:1,99,6.19
26,1,3,Bayer 04 Leverkusen,a,1:1,48,3.69
28,0,5,Sport-Club Freiburg,a,2:3,72,4.50
29,0,3,FC St. Pauli,a,0:5,114,7.12
30,0,9,VfB Stuttgart,h,4:2,90,5.62
31,0,0,1. FSV Mainz 05,a,3:4,70,4.38
32,0,3,1. FC Heidenheim,h,3:3,67,4.19
33,0,2,VfL Wolfsburg,a,0:1,85,5.31
34,0,6,1. FC Köln,h,5:1,92,5.75
