spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,1. FC Union Berlin,a,2:1,54,3.60
2,0,6,Borussia M'gladbach,h,1:0,72,4.50
3,0,2,Sport-Club Freiburg,a,3:1,36,2.57
4,0,3,FC St. Pauli,h,2:0,83,5.93
5,0,9,1. FC Köln,a,1:2,71,4.73
6,0,3,1. FC Heidenheim,h,1:0,78,5.57
7,1,16,VfL Wolfsburg,a,0:3,94,5.88
8,0,3,1. FSV Mainz 05,h,2:1,71,4.44
9,0,5,RB Leipzig,a,3:1,47,3.36
10,0,6,FC Augsburg,h,3:2,63,4.50
11,0,5,Borussia Dortmund,a,3:3,54,3.86
12,0,1,Hamburger SV,a,2:1,50,3.12
13,0,1,FC Bayern München,h,0:5,8,0.57
14,0,6,SV Werder Bremen,a,0:4,102,6.80
15,0,4,TSG Hoffenheim,h,0:0,45,3.46
16,0,5,Bayer 04 Leverkusen,a,1:4,79,5.64
17,0,6,Eintracht Frankfurt,h,3:2,73,5.21
18,0,4,1. FC Union Berlin,h,1:1,63,4.85
19,0,7,Borussia M'gladbach,a,0:3,82,5.12
20,0,4,Sport-Club Freiburg,h,1:0,67,4.47
21,0,5,FC St. Pauli,a,2:1,59,3.69
22,0,5,1. FC Köln,h,3:1,71,4.44
23,0,4,1. FC Heidenheim,a,3:3,61,3.81
24,0,8,VfL Wolfsburg,h,4:0,101,6.73
25,0,4,1. FSV Mainz 05,a,2:2,61,3.81
26,0,9,RB Leipzig,h,1:0,72,4.50
27,0,4,FC Augsburg,a,2:5,85,5.31
28,0,8,Borussia Dortmund,h,0:2,43,3.07
29,1,11,Hamburger SV,h,4:0,98,7.00
30,0,2,FC Bayern München,a,4:2,60,3.75
31,0,6,SV Werder Bremen,h,1:1,64,4.27
32,0,3,TSG Hoffenheim,a,3:3,50,3.33
33,0,8,Bayer 04 Leverkusen,h,3:1,75,5.36
34,0,3,Eintracht Frankfurt,a,2:2,59,4.54
