spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
4,0,3,1. FC Heidenheim,h,2:1,72,4.80
5,0,2,1. FC Union Berlin,a,0:0,60,4.00
6,1,11,1. FSV Mainz 05,h,4:0,93,5.81
7,1,10,RB Leipzig,a,2:1,55,3.44
8,0,6,VfL Wolfsburg,h,0:1,56,4.00
9,0,-1,1. FC Köln,a,4:1,18,1.12
10,0,4,Borussia Dortmund,h,1:1,53,3.79
11,0,2,FC Augsburg,a,1:0,50,3.57
12,0,3,VfB Stuttgart,h,2:1,51,3.40
13,1,12,SV Werder Bremen,h,3:2,75,5.00
14,0,2,TSG Hoffenheim,a,4:1,33,2.20
15,1,11,Eintracht Frankfurt,h,1:1,53,3.79
16,0,3,Sport-Club Freiburg,a,2:1,43,2.69
17,0,3,Bayer 04 Leverkusen,h,0:1,38,2.38
19,0,0,FC St. Pauli,a,0:0,55,3.44
20,0,3,FC Bayern München,h,2:2,61,3.81
21,0,4,1. FC Heidenheim,a,0:2,69,4.31
24,0,2,RB Leipzig,h,1:2,42,2.80
25,0,4,VfL Wolfsburg,a,1:2,55,3.67
26,0,1,1. FC Köln,h,1:1,52,3.47
27,1,8,Borussia Dortmund,a,3:2,47,3.36
28,0,6,FC Augsburg,h,1:1,45,3.21
31,0,2,TSG Hoffenheim,h,1:2,51,3.64
32,0,4,Eintracht Frankfurt,a,1:2,56,3.50
33,0,2,Sport-Club Freiburg,h,3:2,67,4.79
34,0,7,Bayer 04 Leverkusen,a,1:1,64,4.00
