spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,TSG Hoffenheim,h,1:2,49,3.50
2,0,0,SV Werder Bremen,a,3:3,43,2.87
3,0,5,Eintracht Frankfurt,h,3:1,65,4.33
4,0,4,Borussia M'gladbach,h,1:1,65,4.06
5,1,16,FC St. Pauli,a,1:2,59,3.69
6,0,5,1. FC Union Berlin,h,2:0,86,5.73
7,0,2,1. FSV Mainz 05,a,3:4,70,5.00
8,1,13,Sport-Club Freiburg,h,2:0,80,5.00
9,0,6,FC Bayern München,a,3:0,29,1.93
10,0,9,1. FC Heidenheim,h,6:0,126,7.88
11,1,12,VfL Wolfsburg,a,1:3,77,5.13
12,0,2,Borussia Dortmund,h,1:2,51,3.64
13,0,5,FC Augsburg,a,2:0,56,3.50
14,0,4,1. FC Köln,h,2:0,76,4.75
17,0,4,Hamburger SV,a,0:1,66,4.71
20,0,5,Eintracht Frankfurt,a,1:3,83,5.53
21,0,4,Borussia M'gladbach,a,1:1,52,3.47
22,1,16,FC St. Pauli,h,4:0,94,5.88
23,0,4,1. FC Union Berlin,a,1:0,48,3.00
24,0,4,1. FSV Mainz 05,h,1:1,68,4.25
25,0,2,Sport-Club Freiburg,a,3:3,65,4.33
26,0,2,FC Bayern München,h,1:1,64,4.00
28,1,8,VfL Wolfsburg,h,6:3,87,6.21
29,0,5,Borussia Dortmund,a,0:1,63,4.50
30,0,8,FC Augsburg,h,1:2,74,4.93
31,0,6,1. FC Köln,a,1:2,66,4.12
32,0,5,RB Leipzig,h,4:1,89,5.93
33,0,2,VfB Stuttgart,a,3:1,45,3.21
34,0,4,Hamburger SV,h,1:1,80,5.33
