spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,2,Bayer 04 Leverkusen,a,1:2,57,3.80
3,0,1,1. FC Union Berlin,a,2:4,77,5.13
4,0,2,FC Bayern München,h,1:4,38,2.38
5,0,4,Sport-Club Freiburg,a,1:1,50,3.12
6,0,1,1. FC Köln,h,0:1,48,3.20
7,0,6,FC St. Pauli,a,0:3,82,5.86
8,0,3,1. FC Heidenheim,h,3:1,70,4.38
9,2,18,VfL Wolfsburg,a,2:3,70,4.38
10,0,8,RB Leipzig,h,3:1,76,4.75
11,0,3,1. FSV Mainz 05,a,1:1,57,4.07
12,1,14,FC Augsburg,h,3:0,79,4.94
13,0,6,Borussia Dortmund,a,2:0,39,2.44
14,0,4,Hamburger SV,h,4:1,80,5.33
15,0,1,VfB Stuttgart,a,0:0,39,3.00
16,0,-3,SV Werder Bremen,a,0:2,60,4.62
17,0,9,Borussia M'gladbach,h,5:1,102,6.38
18,1,14,Bayer 04 Leverkusen,h,1:0,59,3.93
19,0,9,Eintracht Frankfurt,a,1:3,57,4.38
22,0,9,Sport-Club Freiburg,h,3:0,97,6.93
23,0,2,1. FC Köln,a,2:2,57,4.38
24,0,3,FC St. Pauli,h,0:1,65,4.64
25,0,5,1. FC Heidenheim,a,2:4,75,4.69
26,0,4,VfL Wolfsburg,h,1:1,65,4.64
27,0,2,RB Leipzig,a,5:0,3,0.19
28,0,5,1. FSV Mainz 05,h,1:2,48,3.43
30,0,3,Borussia Dortmund,h,2:1,52,3.47
31,0,1,Hamburger SV,a,1:2,57,3.56
32,0,3,VfB Stuttgart,h,3:3,57,4.75
33,0,8,SV Werder Bremen,h,1:0,75,5.36
34,0,2,Borussia M'gladbach,a,4:0,13,0.81
