spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,1,11,Sport-Club Freiburg,a,1:3,62,4.77
2,0,3,FC Bayern München,h,2:3,54,3.60
5,0,2,1. FC Heidenheim,a,2:1,44,2.75
6,0,1,VfL Wolfsburg,h,3:1,65,4.64
7,0,2,1. FC Köln,a,1:1,42,2.80
8,0,-1,RB Leipzig,h,0:6,20,1.25
9,0,4,Borussia Dortmund,h,0:1,35,2.19
10,0,7,VfB Stuttgart,a,3:2,54,3.38
11,0,8,Hamburger SV,h,1:0,65,4.33
12,0,6,TSG Hoffenheim,a,3:0,46,2.88
13,1,14,Bayer 04 Leverkusen,h,2:0,74,4.93
14,0,2,Eintracht Frankfurt,a,1:0,57,3.56
15,0,2,SV Werder Bremen,h,0:0,54,3.38
17,0,2,1. FC Union Berlin,h,1:1,52,3.25
18,0,1,Sport-Club Freiburg,h,2:2,52,3.47
19,0,7,FC Bayern München,a,1:2,76,5.07
22,0,3,1. FC Heidenheim,h,1:0,65,4.33
23,0,5,VfL Wolfsburg,a,2:3,65,4.06
25,0,5,RB Leipzig,a,2:1,56,3.50
26,0,2,Borussia Dortmund,a,2:0,31,1.94
27,0,0,VfB Stuttgart,h,2:5,33,2.20
28,0,2,Hamburger SV,a,1:1,59,4.54
29,0,3,TSG Hoffenheim,h,2:2,47,3.36
30,0,7,Bayer 04 Leverkusen,a,1:2,72,4.80
31,0,4,Eintracht Frankfurt,h,1:1,62,4.43
32,0,6,SV Werder Bremen,a,1:3,73,4.56
33,0,2,Borussia M'gladbach,h,3:1,65,4.06
