spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,5,Hamburger SV,h,0:0,62,3.88
2,0,4,VfB Stuttgart,a,1:0,56,3.50
3,0,0,SV Werder Bremen,h,0:4,24,1.50
7,0,2,1. FC Union Berlin,a,3:1,38,2.38
8,0,2,FC Bayern München,h,0:3,25,1.56
9,0,6,FC St. Pauli,a,0:4,104,6.50
10,0,6,1. FC Köln,h,3:1,68,4.53
11,0,9,1. FC Heidenheim,a,0:3,88,5.87
12,0,4,RB Leipzig,h,0:0,53,3.53
16,0,6,FC Augsburg,h,4:0,81,5.06
17,0,0,TSG Hoffenheim,a,5:1,7,0.44
18,0,2,Hamburger SV,a,0:0,48,3.43
19,0,1,VfB Stuttgart,h,0:3,20,1.43
20,0,2,SV Werder Bremen,a,1:1,52,3.47
21,0,4,Bayer 04 Leverkusen,h,1:1,52,3.71
22,0,6,Eintracht Frankfurt,a,3:0,38,2.53
23,0,4,Sport-Club Freiburg,a,2:1,50,3.33
24,0,5,1. FC Union Berlin,h,1:0,77,5.50
25,0,0,FC Bayern München,a,4:1,26,1.73
26,1,9,FC St. Pauli,h,2:0,63,4.20
27,0,4,1. FC Köln,a,3:3,45,3.46
28,1,8,1. FC Heidenheim,h,2:2,62,3.88
29,0,2,RB Leipzig,a,1:0,56,3.50
30,0,1,1. FSV Mainz 05,h,1:1,51,3.40
31,0,3,VfL Wolfsburg,a,0:0,50,3.85
32,0,7,Borussia Dortmund,h,1:0,56,4.00
33,0,2,FC Augsburg,a,3:1,48,3.20
34,0,2,TSG Hoffenheim,h,4:0,84,5.60
