spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,3,21,RB Leipzig,h,6:0,108,7.20
2,0,10,FC Augsburg,a,2:3,58,4.14
3,1,18,Hamburger SV,h,5:0,106,6.62
4,1,20,TSG Hoffenheim,a,1:4,76,4.75
5,1,17,SV Werder Bremen,h,4:0,105,6.56
6,1,9,Eintracht Frankfurt,a,0:3,71,5.07
7,1,12,Borussia Dortmund,h,2:1,52,4.00
8,0,4,Borussia M'gladbach,a,0:3,97,6.06
9,0,2,Bayer 04 Leverkusen,h,3:0,80,5.00
10,1,11,1. FC Union Berlin,a,2:2,58,4.14
11,1,10,Sport-Club Freiburg,h,6:2,98,6.12
12,0,4,FC St. Pauli,h,3:1,91,5.69
13,2,21,VfB Stuttgart,a,0:5,96,6.00
14,0,6,1. FSV Mainz 05,h,2:2,67,4.47
15,1,13,1. FC Heidenheim,a,0:4,104,7.43
16,1,13,VfL Wolfsburg,h,8:1,107,6.69
17,0,6,1. FC Köln,a,1:3,75,5.00
18,1,11,RB Leipzig,a,1:5,92,6.13
19,0,2,FC Augsburg,h,1:2,59,3.69
20,1,10,Hamburger SV,a,2:2,59,4.21
21,0,16,TSG Hoffenheim,h,5:1,104,6.50
22,1,16,SV Werder Bremen,a,0:3,82,5.47
23,2,17,Eintracht Frankfurt,h,3:2,74,5.29
24,1,16,Borussia Dortmund,a,2:3,67,5.58
26,0,3,Bayer 04 Leverkusen,a,1:1,48,3.69
27,1,10,1. FC Union Berlin,h,4:0,89,6.36
30,1,9,VfB Stuttgart,h,4:2,90,5.62
31,1,7,1. FSV Mainz 05,a,3:4,70,4.38
32,0,2,1. FC Heidenheim,h,3:3,67,4.19
33,0,1,VfL Wolfsburg,a,0:1,85,5.31
34,3,21,1. FC Köln,h,5:1,92,5.75
