spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,0,VfL Wolfsburg,h,1:3,27,1.69
2,0,3,RB Leipzig,a,2:0,23,1.44
3,0,9,Borussia Dortmund,h,0:2,35,2.19
4,0,8,Hamburger SV,a,2:1,60,3.75
5,0,3,FC Augsburg,h,2:1,59,3.93
6,0,7,VfB Stuttgart,a,1:0,40,2.67
7,0,2,SV Werder Bremen,h,2:2,76,4.75
8,0,6,TSG Hoffenheim,a,3:1,56,3.50
9,0,4,Eintracht Frankfurt,h,1:1,57,3.80
10,0,-3,Bayer 04 Leverkusen,a,6:0,0,0.00
11,0,1,Borussia M'gladbach,h,0:3,28,1.75
12,0,4,1. FC Union Berlin,a,1:2,68,4.25
13,0,4,Sport-Club Freiburg,h,2:1,66,4.40
14,0,1,FC St. Pauli,a,2:1,68,4.25
15,0,5,FC Bayern München,h,0:4,25,1.56
16,0,8,1. FC Köln,h,2:2,62,3.88
17,0,0,1. FSV Mainz 05,a,2:1,37,2.31
18,0,4,VfL Wolfsburg,a,1:1,44,3.38
19,0,1,RB Leipzig,h,0:3,27,1.69
20,0,0,Borussia Dortmund,a,3:2,40,2.50
21,0,2,Hamburger SV,h,0:2,53,3.31
22,0,3,FC Augsburg,a,1:0,47,3.13
23,0,4,VfB Stuttgart,h,3:3,41,2.56
25,0,2,TSG Hoffenheim,h,2:4,37,2.31
26,0,5,Eintracht Frankfurt,a,1:0,38,2.38
27,0,2,Bayer 04 Leverkusen,h,3:3,57,3.56
28,0,3,Borussia M'gladbach,a,2:2,70,4.67
29,0,4,1. FC Union Berlin,h,3:1,71,4.73
30,0,4,Sport-Club Freiburg,a,2:1,45,3.00
31,0,8,FC St. Pauli,h,2:0,62,4.77
32,0,1,FC Bayern München,a,3:3,57,4.07
