spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,2,1. FSV Mainz 05,a,0:1,68,4.25
2,0,2,Sport-Club Freiburg,h,4:1,73,4.56
3,1,9,VfL Wolfsburg,a,3:3,54,3.38
4,0,2,RB Leipzig,a,3:1,52,3.25
5,0,4,VfB Stuttgart,h,1:2,48,3.00
6,0,7,TSG Hoffenheim,a,0:1,65,4.06
7,0,1,FC Augsburg,h,1:1,54,3.38
8,0,2,Borussia Dortmund,a,1:0,45,2.81
9,0,4,Hamburger SV,h,4:1,87,5.44
10,0,5,Borussia M'gladbach,a,3:1,49,3.06
11,0,1,Eintracht Frankfurt,h,3:4,49,3.06
12,0,2,SV Werder Bremen,a,1:1,55,3.44
13,0,1,FC St. Pauli,h,1:1,43,2.87
14,0,2,Bayer 04 Leverkusen,a,2:0,32,2.00
15,0,3,1. FC Union Berlin,h,0:1,44,2.93
17,0,2,FC Bayern München,h,1:3,39,2.60
18,0,6,1. FSV Mainz 05,h,2:1,73,4.56
19,0,3,Sport-Club Freiburg,a,2:1,44,3.14
20,0,2,VfL Wolfsburg,h,1:0,61,4.36
21,0,4,RB Leipzig,h,1:2,44,2.93
23,0,,TSG Hoffenheim,h,2:2,59,4.21
24,0,2,FC Augsburg,a,2:0,42,2.62
25,0,2,Borussia Dortmund,h,1:2,35,2.69
26,0,4,Hamburger SV,a,1:1,46,2.88
27,0,5,Borussia M'gladbach,h,3:3,55,3.44
28,0,3,Eintracht Frankfurt,a,2:2,64,4.00
29,0,9,SV Werder Bremen,h,3:1,64,4.27
30,0,5,FC St. Pauli,a,1:1,62,3.88
31,0,2,Bayer 04 Leverkusen,h,1:2,45,2.81
33,0,3,1. FC Heidenheim,h,1:3,31,2.21
34,0,1,FC Bayern München,a,5:1,10,0.67
