spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,5,Hamburger SV,h,0:0,62,3.88
2,0,5,VfB Stuttgart,a,1:0,56,3.50
3,0,0,SV Werder Bremen,h,0:4,24,1.50
4,0,5,Bayer 04 Leverkusen,a,1:1,63,3.94
5,0,2,Eintracht Frankfurt,h,4:6,57,3.56
6,0,4,Sport-Club Freiburg,h,0:0,56,3.50
7,0,2,1. FC Union Berlin,a,3:1,38,2.38
8,0,3,FC Bayern München,h,0:3,25,1.56
9,0,5,FC St. Pauli,a,0:4,104,6.50
10,0,4,1. FC Köln,h,3:1,68,4.53
11,0,9,1. FC Heidenheim,a,0:3,88,5.87
12,0,5,RB Leipzig,h,0:0,53,3.53
13,0,6,1. FSV Mainz 05,a,0:1,58,4.46
14,0,3,VfL Wolfsburg,h,1:3,42,2.80
15,0,4,Borussia Dortmund,a,2:0,33,2.20
16,0,4,FC Augsburg,h,4:0,81,5.06
17,0,-2,TSG Hoffenheim,a,5:1,7,0.44
18,0,4,Hamburger SV,a,0:0,48,3.43
19,0,2,VfB Stuttgart,h,0:3,20,1.43
20,0,7,SV Werder Bremen,a,1:1,52,3.47
21,0,5,Bayer 04 Leverkusen,h,1:1,52,3.71
22,0,3,Eintracht Frankfurt,a,3:0,38,2.53
23,0,3,Sport-Club Freiburg,a,2:1,50,3.33
24,0,8,1. FC Union Berlin,h,1:0,77,5.50
25,0,0,FC Bayern München,a,4:1,26,1.73
26,0,5,FC St. Pauli,h,2:0,63,4.20
27,0,2,1. FC Köln,a,3:3,45,3.46
28,0,4,1. FC Heidenheim,h,2:2,62,3.88
29,0,6,RB Leipzig,a,1:0,56,3.50
30,0,6,1. FSV Mainz 05,h,1:1,51,3.40
31,0,6,VfL Wolfsburg,a,0:0,50,3.85
32,0,3,Borussia Dortmund,h,1:0,56,4.00
34,0,10,TSG Hoffenheim,h,4:0,84,5.60
