spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,4,RB Leipzig,h,6:0,108,7.20
2,0,1,FC Augsburg,a,2:3,58,4.14
3,0,5,Hamburger SV,h,5:0,106,6.62
4,0,4,TSG Hoffenheim,a,1:4,76,4.75
5,0,5,SV Werder Bremen,h,4:0,105,6.56
6,0,5,Eintracht Frankfurt,a,0:3,71,5.07
7,0,1,Borussia Dortmund,h,2:1,52,4.00
9,0,3,Bayer 04 Leverkusen,h,3:0,80,5.00
10,0,-2,1. FC Union Berlin,a,2:2,58,4.14
11,0,0,Sport-Club Freiburg,h,6:2,98,6.12
12,0,2,FC St. Pauli,h,3:1,91,5.69
14,0,1,1. FSV Mainz 05,h,2:2,67,4.47
16,0,4,VfL Wolfsburg,h,8:1,107,6.69
17,0,8,1. FC Köln,a,1:3,75,5.00
18,0,3,RB Leipzig,a,1:5,92,6.13
20,0,0,Hamburger SV,a,2:2,59,4.21
21,0,7,TSG Hoffenheim,h,5:1,104,6.50
22,0,3,SV Werder Bremen,a,0:3,82,5.47
25,0,3,Borussia M'gladbach,h,4:1,99,6.19
28,0,-1,Sport-Club Freiburg,a,2:3,72,4.50
29,0,6,FC St. Pauli,a,0:5,114,7.12
34,0,1,1. FC Köln,h,5:1,92,5.75
