spieltag,tore,punkte,gegner,heim_auswaerts,ergebnis,punkte_gesamt,punkte_schnitt
1,0,1,Borussia M'gladbach,a,0:0,50,3.57
2,0,3,FC St. Pauli,h,0:2,43,2.69
3,0,1,FC Bayern München,a,5:0,18,1.12
4,0,4,1. FC Heidenheim,h,2:1,72,4.80
5,0,2,1. FC Union Berlin,a,0:0,60,4.00
6,0,5,1. FSV Mainz 05,h,4:0,93,5.81
7,0,0,RB Leipzig,a,2:1,55,3.44
8,0,2,VfL Wolfsburg,h,0:1,56,4.00
9,0,1,1. FC Köln,a,4:1,18,1.12
10,1,8,Borussia Dortmund,h,1:1,53,3.79
11,0,1,FC Augsburg,a,1:0,50,3.57
12,0,1,VfB Stuttgart,h,2:1,51,3.40
13,0,2,SV Werder Bremen,h,3:2,75,5.00
14,0,4,TSG Hoffenheim,a,4:1,33,2.20
15,0,3,Eintracht Frankfurt,h,1:1,53,3.79
16,0,2,Sport-Club Freiburg,a,2:1,43,2.69
17,0,2,Bayer 04 Leverkusen,h,0:1,38,2.38
18,0,6,Borussia M'gladbach,h,0:0,70,4.38
19,0,0,FC St. Pauli,a,0:0,55,3.44
20,0,2,FC Bayern München,h,2:2,61,3.81
21,1,7,1. FC Heidenheim,a,0:2,69,4.31
22,2,16,1. FC Union Berlin,h,3:2,56,3.73
23,0,4,1. FSV Mainz 05,a,1:1,53,3.79
24,0,3,RB Leipzig,h,1:2,42,2.80
25,0,3,VfL Wolfsburg,a,1:2,55,3.67
26,0,2,1. FC Köln,h,1:1,52,3.47
27,0,1,Borussia Dortmund,a,3:2,47,3.36
28,1,6,FC Augsburg,h,1:1,45,3.21
29,0,4,VfB Stuttgart,a,4:0,31,2.07
30,0,1,SV Werder Bremen,a,3:1,29,1.93
31,0,5,TSG Hoffenheim,h,1:2,51,3.64
32,0,2,Eintracht Frankfurt,a,1:2,56,3.50
33,0,2,Sport-Club Freiburg,h,3:2,67,4.79
